frame_id,round_id,model_type,total_time_ms,forward_time_ms,postprocess_time_ms,data_to_gpu_time_ms,success,skip_reason
397,1,baseline,23.543,12.08,3.695,7.767,True,
398,1,baseline,32.224,12.09,3.689,16.445,True,
399,1,baseline,49.598,31.86,4.705,13.033,True,
400,1,baseline,31.891,17.745,3.851,10.296,True,
401,1,baseline,25.342,13.969,3.842,7.532,True,
402,1,baseline,21.62,11.811,3.602,6.207,True,
403,1,baseline,22.304,11.707,4.766,5.831,True,
404,1,baseline,44.743,13.044,4.154,27.545,True,
405,1,baseline,25.03,13.124,3.974,7.932,True,
406,1,baseline,22.556,11.937,3.96,6.659,True,
407,1,baseline,22.823,12.897,3.899,6.027,True,
408,1,baseline,22.394,12.576,3.704,6.115,True,
409,1,baseline,23.254,11.623,4.025,7.606,True,
410,1,baseline,18.007,10.902,3.609,3.496,True,
411,1,baseline,17.929,10.419,3.605,3.905,True,
412,1,baseline,18.084,10.712,3.677,3.695,True,
413,1,baseline,19.424,10.65,4.068,4.706,True,
414,1,baseline,23.942,13.936,3.857,6.149,True,
415,1,baseline,22.928,12.389,4.517,6.022,True,
416,1,baseline,21.713,12.144,3.858,5.711,True,
417,1,baseline,23.927,12.326,3.955,7.646,True,
418,1,baseline,44.359,16.161,10.119,18.079,True,
419,1,baseline,21.513,11.544,4.315,5.654,True,
420,1,baseline,28.663,16.699,4.023,7.942,True,
421,1,baseline,24.517,12.292,3.895,8.33,True,
422,1,baseline,21.333,11.751,3.724,5.858,True,
423,1,baseline,21.373,11.684,3.728,5.961,True,
424,1,baseline,22.013,11.796,3.934,6.283,True,
425,1,baseline,23.08,11.861,3.826,7.393,True,
426,1,baseline,22.397,11.929,3.895,6.573,True,
427,1,baseline,25.453,15.006,4.416,6.031,True,
428,1,baseline,22.007,12.327,3.852,5.828,True,
429,1,baseline,41.717,17.993,16.291,7.433,True,
430,1,baseline,49.433,20.95,16.105,12.379,True,
431,1,baseline,29.755,18.788,4.974,5.994,True,
432,1,baseline,22.575,12.704,3.856,6.014,True,
